reviewDate,timeDelta,sentimentScore,stars
2011-08-03,2026,0.638220898182,4
2011-08-07,2030,0.365653511559,5
2011-08-10,2033,0.626080633008,3
2011-08-11,2034,0.396597198086,5
2011-08-13,2036,0.782835441608,5
2011-08-16,2039,0.644715111685,5
2011-08-18,2041,0.420285666131,3
2011-08-23,2046,0.75426005686,5
2011-08-25,2048,0.575129698724,4
2011-08-31,2054,0.837254174067,4
2011-09-01,2055,0.60910462184,4
2011-09-03,2057,0.425803069454,5
2011-09-14,2068,0.481536817393,4
2011-09-15,2069,0.536750423854,5
2011-09-20,2074,0.536389596984,4
2011-09-23,2077,0.226444758326,5
2011-09-28,2082,0.201997008613,5
2011-09-28,2082,0.894147061136,5
2011-10-06,2090,0.806286386364,5
2011-10-12,2096,0.284757574235,4
2011-10-30,2114,0.662189228615,4
2011-11-13,2128,0.887768088286,4
2011-11-20,2135,0.516726253639,5
2011-11-27,2142,0.772104446893,5
2011-12-04,2149,0.45578240197,5
2011-12-05,2150,0.384881356688,3
2011-12-05,2150,0.718312272652,5
2011-12-12,2157,0.734377581713,5
2011-12-12,2157,0.558403936945,5
2011-12-26,2171,0.743199179023,4
2012-01-03,2179,0.497664415883,4
2012-01-11,2187,0.163460094857,4
2012-01-13,2189,0.430068397103,5
2012-01-15,2191,0.462372059542,4
2012-01-22,2198,0.755536631445,4
2012-01-23,2199,0.656873205033,5
2012-01-28,2204,0.57591555086,5
2012-02-02,2209,0.643996698828,4
2012-02-13,2220,0.502049873649,4
2012-02-15,2222,0.716650748076,5
2012-02-16,2223,0.624666830084,4
2012-02-20,2227,0.623604517165,4
2012-02-28,2235,0.532563568527,5
2012-02-29,2236,0.784131093992,5
2012-03-05,2241,0.764581464127,5
2012-03-05,2241,0.721086094998,5
2012-03-07,2243,0.728225921952,4
2012-03-09,2245,0.285525194701,3
2012-04-05,2272,0.761307738844,4
2012-04-08,2275,0.887389260153,4
2012-04-16,2283,0.577145406542,4
2012-04-23,2290,0.372761478876,4
2012-04-24,2291,0.378855363354,5
2012-04-25,2292,0.17089437032,4
2012-04-30,2297,0.348814036366,5
2012-05-03,2300,0.685205552389,5
2012-05-05,2302,0.224079753434,5
2012-05-19,2316,0.520159699529,5
2012-05-23,2320,0.700663843589,4
2012-05-28,2325,0.7572116275,5
2012-05-29,2326,0.488336658579,4
2012-05-29,2326,0.678662532437,5
2012-05-29,2326,0.8479000807,5
2012-05-31,2328,0.639099140291,4
2012-06-01,2329,0.619607396492,5
2012-06-01,2329,0.385944825062,4
2012-06-03,2331,0.501887943246,4
2012-06-04,2332,0.753708706066,5
2012-06-05,2333,0.311682206509,4
2012-06-06,2334,0.633181491477,5
2012-06-10,2338,0.724608246912,5
2012-06-12,2340,0.5025521801,5
2012-06-12,2340,0.300921222543,4
2012-06-14,2342,0.785864636408,4
2012-06-17,2345,0.563956785652,4
2012-06-17,2345,0.420909321096,5
